# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_T, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_T parameters
134896000000000.0 6.16339e+17 28673000000000.0 119214000000000.0 9344290000000.0 179988000000.0 32847200000.0 264462000000.0 7670460000000.0 1205170000000.0 4.68 [4.68]
134896000000000.0 7.32303e+17 32092600000000.0 142854000000000.0 11190400000000.0 199250000000.0 39239600000.0 267343000000.0 8460800000000.0 1409920000000.0 4.7 [4.7]
134896000000000.0 8.70072e+17 35322700000000.0 171438000000000.0 13509100000000.0 220564000000.0 46624500000.0 266387000000.0 9240590000000.0 1660310000000.0 4.72 [4.72]
134896000000000.0 1.03311e+18 38244400000000.0 205701000000000.0 16444300000000.0 244377000000.0 55153700000.0 262890000000.0 10034300000000.0 1977850000000.0 4.74 [4.74]
134896000000000.0 1.22536e+18 40763400000000.0 246363000000000.0 20204500000000.0 271466000000.0 65072400000.0 256889000000.0 10824400000000.0 2381990000000.0 4.76 [4.76]
134896000000000.0 1.4509e+18 42801000000000.0 294004000000000.0 25095000000000.0 302831000000.0 76710900000.0 248402000000.0 11585600000000.0 2895350000000.0 4.78 [4.78]
134896000000000.0 1.71503e+18 44321300000000.0 349184000000000.0 31594200000000.0 340019000000.0 90588400000.0 237544000000.0 12289900000000.0 3543950000000.0 4.8 [4.8]
134896000000000.0 2.0236e+18 45299900000000.0 412197000000000.0 40407400000000.0 385103000000.0 107430000000.0 224415000000.0 12901200000000.0 4353760000000.0 4.82 [4.82]
134896000000000.0 2.38312e+18 45711900000000.0 482868000000000.0 52606100000000.0 440959000000.0 128272000000.0 209121000000.0 13374900000000.0 5345900000000.0 4.84 [4.84]
134895000000000.0 2.79991e+18 45515800000000.0 560131000000000.0 69718500000000.0 511448000000.0 154548000000.0 191762000000.0 13656700000000.0 6527400000000.0 4.86 [4.86]
134895000000000.0 3.28059e+18 44665300000000.0 641767000000000.0 93863100000000.0 602230000000.0 188405000000.0 172503000000.0 13686500000000.0 7879940000000.0 4.88 [4.88]
134896000000000.0 3.83223e+18 43132800000000.0 724065000000000.0 127781000000000.0 721201000000.0 232935000000.0 151688000000.0 13410400000000.0 9348590000000.0 4.9 [4.9]
134896000000000.0 4.46109e+18 40877600000000.0 801360000000000.0 174654000000000.0 879223000000.0 292578000000.0 129830000000.0 12788100000000.0 10830400000000.0 4.92 [4.92]
134896000000000.0 5.17316e+18 37877900000000.0 866105000000000.0 237488000000000.0 1090950000000.0 373673000000.0 107711000000.0 11815900000000.0 12180200000000.0 4.94 [4.94]
134896000000000.0 5.97548e+18 34161500000000.0 909409000000000.0 318105000000000.0 1375920000000.0 485296000000.0 86344600000.0 10542900000000.0 13238000000000.0 4.96 [4.96]
134896000000000.0 6.87557e+18 29823000000000.0 922172000000000.0 415399000000000.0 1759430000000.0 640361000000.0 66794800000.0 9071340000000.0 13871900000000.0 4.98 [4.98]
134896000000000.0 7.88018e+18 25042000000000.0 897172000000000.0 523376000000000.0 2273780000000.0 857336000000.0 49917800000.0 7534040000000.0 14019100000000.0 5.0 [5.0]
134896000000000.0 9.00411e+18 20108700000000.0 832605000000000.0 630631000000000.0 2963650000000.0 1164330000000.0 36254700000.0 6066670000000.0 13715900000000.0 5.02 [5.02]
134896000000000.0 1.02649e+19 15388700000000.0 734642000000000.0 722627000000000.0 3891560000000.0 1604420000000.0 25706000000.0 4765900000000.0 13065700000000.0 5.04 [5.04]
134896000000000.0 1.16826e+19 11214600000000.0 615913000000000.0 785620000000000.0 5149280000000.0 2244740000000.0 17921100000.0 3678790000000.0 12199300000000.0 5.06 [5.06]
134896000000000.0 1.32807e+19 7810040000000.0 492336000000000.0 812131000000000.0 6878460000000.0 3190830000000.0 12370400000.0 2809640000000.0 11238400000000.0 5.08 [5.08]
134896000000000.0 1.50853e+19 5231840000000.0 377828000000000.0 803093000000000.0 9307420000000.0 4609260000000.0 8506870000.0 2136290000000.0 10275500000000.0 5.1 [5.1]
134896000000000.0 1.7122e+19 3401690000000.0 280886000000000.0 765973000000000.0 12807400000000.0 6754050000000.0 5857650000.0 1625330000000.0 9370020000000.0 5.12 [5.12]
134896000000000.0 1.94185e+19 2166860000000.0 204184000000000.0 710842000000000.0 18007500000000.0 10012000000000.0 4054960000.0 1242330000000.0 8555050000000.0 5.14 [5.14]
134895000000000.0 2.20073e+19 1363480000000.0 146348000000000.0 647049000000000.0 26002900000000.0 14966200000000.0 2831250000.0 957175000000.0 7845700000000.0 5.16 [5.16]
134895000000000.0 2.4924e+19 853342000000.0 104153000000000.0 581567000000000.0 38717500000000.0 22473100000000.0 1998730000.0 745257000000.0 7245860000000.0 5.18 [5.18]
134896000000000.0 2.8208e+19 534011000000.0 74001400000000.0 518764000000000.0 59586200000000.0 33802600000000.0 1429310000.0 587555000000.0 6753290000000.0 5.2 [5.2]
134896000000000.0 3.1909e+19 335635000000.0 52718400000000.0 461067000000000.0 94667000000000.0 50858800000000.0 1037290000.0 469984000000.0 6363650000000.0 5.22 [5.22]
134896000000000.0 3.61065e+19 212624000000.0 37788200000000.0 409722000000000.0 154652000000000.0 76654400000000.0 765228000.0 382129000000.0 6073750000000.0 5.24 [5.24]
134896000000000.0 4.09418e+19 136213000000.0 27349900000000.0 365353000000000.0 258536000000000.0 116383000000000.0 574933000.0 316475000000.0 5885200000000.0 5.26 [5.26]
134896000000000.0 4.66492e+19 88571000000.0 20064000000000.0 328161000000000.0 439316000000000.0 179788000000000.0 440951000.0 267676000000.0 5805070000000.0 5.28 [5.28]
134896000000000.0 5.35296e+19 58624200000.0 14964600000000.0 297825000000000.0 752624000000000.0 286149000000000.0 345678000.0 231583000000.0 5838860000000.0 5.3 [5.3]
134896000000000.0 6.18797e+19 39494300000.0 11346500000000.0 273095000000000.0 1287380000000000.0 474553000000000.0 276690000.0 204754000000.0 5983610000000.0 5.32 [5.32]
134896000000000.0 7.18749e+19 27003400000.0 8719240000000.0 252170000000000.0 2173170000000000.0 823918000000000.0 225219000.0 184234000000.0 6221500000000.0 5.34 [5.34]
134896000000000.0 8.30842e+19 18582700000.0 6728870000000.0 232071000000000.0 3562430000000000.0 1483610000000000.0 184656000.0 166857000000.0 6489560000000.0 5.36 [5.36]
134896000000000.0 9.52317e+19 12799200000.0 5186720000000.0 211818000000000.0 5580610000000000.0 2721090000000000.0 151561000.0 151037000000.0 6744020000000.0 5.38 [5.38]
134896000000000.0 1.06744e+20 8746230000.0 3955550000000.0 189855000000000.0 8172060000000000.0 4899040000000000.0 122932000.0 134461000000.0 6867730000000.0 5.4 [5.4]
134896000000000.0 1.16018e+20 5919160000.0 2979580000000.0 166948000000000.0 1.09876e+16 8377410000000000.0 97545200.0 116287000000.0 6769450000000.0 5.42 [5.42]
134896000000000.0 1.21531e+20 3925740000.0 2193200000000.0 142836000000000.0 1.33572e+16 1.32075e+16 75020600.0 96652300000.0 6390400000000.0 5.44 [5.44]
134896000000000.0 1.23602e+20 2570960000.0 1591770000000.0 120270000000000.0 1.47044e+16 1.90399e+16 55936400.0 77410300000.0 5796070000000.0 5.46 [5.46]
134896000000000.0 1.23054e+20 1681200000.0 1152170000000.0 100788000000000.0 1.48059e+16 2.51664e+16 40551900.0 60086600000.0 5080330000000.0 5.48 [5.48]
134896000000000.0 1.22566e+20 1111740000.0 843640000000.0 85350100000000.0 1.40405e+16 3.12794e+16 28977600.0 46020000000.0 4384610000000.0 5.5 [5.5]
134896000000000.0 1.23533e+20 749243000.0 630129000000.0 73637800000000.0 1.28155e+16 3.72686e+16 20574500.0 35106100000.0 3762000000000.0 5.52 [5.52]
134895000000000.0 1.26517e+20 515606000.0 481144000000.0 64854900000000.0 1.14398e+16 4.31842e+16 14560000.0 26753600000.0 3218710000000.0 5.54 [5.54]
134896000000000.0 1.31504e+20 361854000.0 375251000000.0 58234500000000.0 1.00864e+16 4.91074e+16 10256200.0 20327800000.0 2740600000000.0 5.56 [5.56]
134896000000000.0 1.38366e+20 258530000.0 298393000000.0 53198400000000.0 8843500000000000.0 5.5148e+16 7175680.0 15355500000.0 2315540000000.0 5.58 [5.58]
134896000000000.0 1.46913e+20 187416000.0 241175000000.0 49289600000000.0 7741090000000000.0 6.1392e+16 4971230.0 11490900000.0 1934500000000.0 5.6 [5.6]
134896000000000.0 1.56994e+20 137613000.0 197731000000.0 46221700000000.0 6781470000000000.0 6.79132e+16 3401640.0 8494060000.0 1593540000000.0 5.62 [5.62]
134896000000000.0 1.6865e+20 102333000.0 164331000000.0 43843000000000.0 5959080000000000.0 7.48407e+16 2296730.0 6194690000.0 1292780000000.0 5.64 [5.64]
134896000000000.0 1.81738e+20 77081500.0 138352000000.0 42029400000000.0 5253010000000000.0 8.21968e+16 1527530.0 4448840000.0 1030910000000.0 5.66 [5.66]
134896000000000.0 1.96366e+20 58871800.0 117965000000.0 40710500000000.0 4649010000000000.0 9.00943e+16 1000440.0 3144890000.0 807821000000.0 5.68 [5.68]
134896000000000.0 2.12464e+20 45606300.0 101708000000.0 39785300000000.0 4125490000000000.0 9.85505e+16 638465.0 2164790000.0 615383000000.0 5.7 [5.7]
134896000000000.0 2.30096e+20 35858900.0 88527200000.0 39172400000000.0 3673370000000000.0 1.07626e+17 403831.0 1475760000.0 463644000000.0 5.72 [5.72]
134896000000000.0 2.4909e+20 28575200.0 77513800000.0 38732800000000.0 3275290000000000.0 1.17269e+17 250671.0 986428000.0 342155000000.0 5.74 [5.74]
134896000000000.0 2.69045e+20 23023200.0 68014400000.0 38320300000000.0 2919310000000000.0 1.27305e+17 152391.0 645126000.0 246855000000.0 5.76 [5.76]
134896000000000.0 2.8938e+20 18680500.0 59580700000.0 37789800000000.0 2612960000000000.0 1.37449e+17 90798.8 413101000.0 174159000000.0 5.78 [5.78]
134896000000000.0 3.09621e+20 15187800.0 51982100000.0 37050100000000.0 2346320000000000.0 1.47487e+17 52977.1 258814000.0 120061000000.0 5.8 [5.8]
134896000000000.0 3.29633e+20 12290900.0 45022600000.0 36003000000000.0 2112100000000000.0 1.57361e+17 30245.7 158575000.0 80850900000.0 5.82 [5.82]
134896000000000.0 3.49577e+20 9834680.0 38593100000.0 34585000000000.0 1906940000000000.0 1.67153e+17 16899.7 95052600.0 53217100000.0 5.84 [5.84]
134896000000000.0 3.69925e+20 7755020.0 32702400000.0 32810100000000.0 1729920000000000.0 1.7709e+17 9249.93 55802200.0 34278100000.0 5.86 [5.86]
134896000000000.0 3.91141e+20 6014950.0 27358200000.0 30705900000000.0 1579580000000000.0 1.87393e+17 4967.87 32140200.0 21646100000.0 5.88 [5.88]
134896000000000.0 4.13635e+20 4594370.0 22612500000.0 28361400000000.0 1457970000000000.0 1.98246e+17 2643.56 18338500.0 13527200000.0 5.9 [5.9]
134896000000000.0 4.37647e+20 3464860.0 18494200000.0 25882200000000.0 1360300000000000.0 2.09753e+17 1386.51 10310200.0 8318790000.0 5.92 [5.92]
134896000000000.0 4.63432e+20 2579680.0 14950100000.0 23316500000000.0 1282110000000000.0 2.22013e+17 715.677 5702920.0 5027350000.0 5.94 [5.94]
134896000000000.0 4.91064e+20 1895970.0 11931700000.0 20715000000000.0 1220630000000000.0 2.35016e+17 362.876 3097470.0 2979080000.0 5.96 [5.96]
134896000000000.0 5.20616e+20 1375900.0 9394660000.0 18131800000000.0 1173460000000000.0 2.48728e+17 180.69 1651480.0 1730430000.0 5.98 [5.98]
134896000000000.0 5.52011e+20 987738.0 7304520000.0 15639000000000.0 1138700000000000.0 2.63008e+17 89.2333 872911.0 995079000.0 6.0 [6.0]
134896000000000.0 5.85091e+20 701114.0 5604950000.0 13282200000000.0 1113080000000000.0 2.77627e+17 43.3223 453345.0 561369000.0 6.02 [6.02]
134896000000000.0 6.1963e+20 492125.0 4245920000.0 11108700000000.0 1094970000000000.0 2.92265e+17 20.6451 230968.0 310185000.0 6.04 [6.04]
134896000000000.0 6.55552e+20 342230.0 3183770000.0 9172430000000.0 1085160000000000.0 3.06596e+17 9.7219 116220.0 169048000.0 6.06 [6.06]
134896000000000.0 6.92882e+20 236690.0 2373600000.0 7504250000000.0 1080800000000000.0 3.20267e+17 4.51423 57631.3 90654500.0 6.08 [6.08]
134896000000000.0 7.31773e+20 163234.0 1765060000.0 6101920000000.0 1080360000000000.0 3.32894e+17 2.06118 28085.5 47700400.0 6.1 [6.1]
134896000000000.0 7.72524e+20 112628.0 1313720000.0 4946310000000.0 1082860000000000.0 3.4408e+17 0.923614 13423.3 24563900.0 6.12 [6.12]
134896000000000.0 8.15305e+20 78130.5 983428000.0 4012510000000.0 1085980000000000.0 3.53307e+17 0.405465 6281.09 12357300.0 6.14 [6.14]
134896000000000.0 8.60058e+20 54636.8 742339000.0 3262790000000.0 1088420000000000.0 3.59932e+17 0.174443 2878.44 6074360.0 6.16 [6.16]
134896000000000.0 9.07133e+20 38514.1 564885000.0 2655540000000.0 1087570000000000.0 3.63512e+17 0.0728374 1279.38 2889700.0 6.18 [6.18]
134896000000000.0 9.56916e+20 27368.3 433340000.0 2160440000000.0 1081720000000000.0 3.6367e+17 0.0293213 547.915 1321920.0 6.2 [6.2]
134896000000000.0 1.00955e+21 19530.3 333928000.0 1751020000000.0 1069290000000000.0 3.60025e+17 0.0113448 225.44 580182.0 6.22 [6.22]
134896000000000.0 1.06517e+21 13908.2 256885000.0 1407950000000.0 1047340000000000.0 3.52335e+17 0.00419679 88.6632 243252.0 6.24 [6.24]
134896000000000.0 1.12355e+21 9830.73 195972000.0 1119200000000.0 1014100000000000.0 3.40392e+17 0.00148684 33.3887 97635.9 6.26 [6.26]
134896000000000.0 1.18468e+21 6859.34 147329000.0 877942000000.0 968751000000000.0 3.2426e+17 0.000506983 12.0998 37715.9 6.28 [6.28]
134896000000000.0 1.24838e+21 4724.0 109057000.0 681996000000.0 910728000000000.0 3.04174e+17 0.000168029 4.26168 14163.5 6.3 [6.3]
134896000000000.0 1.31461e+21 3244.51 80370700.0 531056000000.0 841290000000000.0 2.80658e+17 5.47926e-05 1.47681 5235.67 6.32 [6.32]
134896000000000.0 1.38337e+21 2239.99 59377500.0 416502000000.0 762663000000000.0 2.5447e+17 1.78702e-05 0.511739 1934.7 6.34 [6.34]
134896000000000.0 1.45492e+21 1552.73 43962100.0 328436000000.0 678079000000000.0 2.26604e+17 5.87136e-06 0.178617 720.06 6.36 [6.36]
134895000000000.0 1.52941e+21 1084.05 32743400.0 260940000000.0 591017000000000.0 1.98141e+17 1.94843e-06 0.0629607 270.576 6.38 [6.38]
134895000000000.0 1.60707e+21 763.092 24569200.0 208859000000.0 505146000000000.0 1.70182e+17 6.55327e-07 0.0224894 103.004 6.4 [6.4]
134895000000000.0 1.68809e+21 541.105 18556500.0 168218000000.0 423729000000000.0 1.4369e+17 2.23813e-07 0.00815581 39.7966 6.42 [6.42]
134895000000000.0 1.77256e+21 386.226 14094600.0 136099000000.0 349226000000000.0 1.19399e+17 7.78452e-08 0.00301157 15.649 6.44 [6.44]
134895000000000.0 1.86053e+21 277.263 10755400.0 110507000000.0 283241000000000.0 9.77964e+16 2.7566e-08 0.00113196 6.2614 6.46 [6.46]
134895000000000.0 1.95204e+21 199.966 8238730.0 89979300000.0 226443000000000.0 7.90921e+16 9.91965e-09 0.000432279 2.54431 6.48 [6.48]
134895000000000.0 2.04729e+21 144.805 6331640.0 73430500000.0 178751000000000.0 6.3267e+16 3.6237e-09 0.000167549 1.04886 6.5 [6.5]
134895000000000.0 2.14662e+21 105.277 4882310.0 60079800000.0 140780000000000.0 5.05744e+16 1.34489e-09 6.59657e-05 0.439005 6.52 [6.52]
134895000000000.0 2.25029e+21 76.9346 3782750.0 49372100000.0 111030000000000.0 4.05467e+16 5.08613e-10 2.64609e-05 0.187163 6.54 [6.54]
134895000000000.0 2.35842e+21 56.3261 2934390.0 40607200000.0 87323000000000.0 3.2468e+16 1.95055e-10 1.07618e-05 0.0808693 6.56 [6.56]
134895000000000.0 2.47133e+21 41.2816 2277350.0 33403400000.0 68542600000000.0 2.59882e+16 7.57797e-11 4.43318e-06 0.0353773 6.58 [6.58]
134895000000000.0 2.58925e+21 30.2906 1768460.0 27486400000.0 53772900000000.0 2.08224e+16 2.98226e-11 1.84958e-06 0.0156684 6.6 [6.6]
134895000000000.0 2.71248e+21 22.2525 1374260.0 22628700000.0 42195600000000.0 1.67121e+16 1.18873e-11 7.81473e-07 0.0070252 6.62 [6.62]
134896000000000.0 2.84133e+21 16.3698 1068980.0 18645400000.0 33165500000000.0 1.34544e+16 4.79989e-12 3.34439e-07 0.00318956 6.64 [6.64]
134896000000000.0 2.97609e+21 12.066 832952.0 15389000000.0 26210900000000.0 1.0905e+16 1.96509e-12 1.45104e-07 0.00146782 6.66 [6.66]
134896000000000.0 3.11707e+21 8.91045 650105.0 12722200000.0 20788200000000.0 8880870000000000.0 8.15226e-13 6.379e-08 0.000684283 6.68 [6.68]
134896000000000.0 3.26455e+21 6.5928 508257.0 10535000000.0 16540000000000.0 7264030000000000.0 3.4241e-13 2.83919e-08 0.000322906 6.7 [6.7]
134896000000000.0 3.41881e+21 4.88763 398088.0 8739830000.0 13204000000000.0 5967970000000000.0 1.45563e-13 1.27874e-08 0.000154164 6.72 [6.72]
134896000000000.0 3.5802e+21 3.63176 312477.0 7266000000.0 10580800000000.0 4926650000000000.0 6.25892e-14 5.8252e-09 7.44326e-05 6.74 [6.74]
134896000000000.0 3.74904e+21 2.70524 245854.0 6054330000.0 8510240000000.0 4085820000000000.0 6.14225e-16 2.682e-09 3.63153e-05 6.76 [6.76]
134896000000000.0 3.92567e+21 2.02019 193912.0 5056780000.0 6870680000000.0 3404050000000000.0 0.0 1.24718e-09 1.78928e-05 6.78 [6.78]
134896000000000.0 4.1105e+21 1.51213 153302.0 4233450000.0 5569720000000.0 2849740000000000.0 8.14298e-17 5.85221e-10 8.89492e-06 6.8 [6.8]
134896000000000.0 4.30395e+21 1.13452 121490.0 3552940000.0 4538130000000.0 2399340000000000.0 3.6752e-17 2.76933e-10 4.45905e-06 6.82 [6.82]
134896000000000.0 4.50584e+21 0.853213 96512.0 2988900000.0 3715170000000.0 2030860000000000.0 1.67148e-17 1.31983e-10 2.2511e-06 6.84 [6.84]
134896000000000.0 4.7173e+21 0.64277 76815.2 2519450000.0 3048690000000.0 1724000000000000.0 3.8397e-18 6.32566e-11 1.14284e-06 6.86 [6.86]
134896000000000.0 4.93898e+21 0.485236 61277.7 2128620000.0 2514990000000.0 1471940000000000.0 1.76601e-18 3.04662e-11 5.83007e-07 6.88 [6.88]
134896000000000.0 5.17147e+21 0.367015 48991.6 1802700000.0 2091470000000.0 1267320000000000.0 8.16834e-19 1.47387e-11 2.98726e-07 6.9 [6.9]
134896000000000.0 5.41536e+21 0.277863 39219.2 1529060000.0 1748100000000.0 1097130000000000.0 3.7889e-19 7.14589e-12 1.5336e-07 6.92 [6.92]
134896000000000.0 5.67122e+21 0.210486 31425.6 1298620000.0 1468130000000.0 954743000000000.0 0.0 3.46723e-12 7.87718e-08 6.94 [6.94]
134896000000000.0 5.93967e+21 0.159586 25211.7 1104530000.0 1238430000000.0 834795000000000.0 0.0 1.68005e-12 4.04282e-08 6.96 [6.96]
134896000000000.0 6.22133e+21 0.121046 20243.4 940582000.0 1048910000000.0 733150000000000.0 2.91393e-19 8.1234e-13 2.07056e-08 6.98 [6.98]
134896000000000.0 6.51678e+21 0.0917825 16255.4 801396000.0 890282000000.0 645529000000000.0 1.34017e-19 3.91199e-13 1.05622e-08 7.0 [7.0]
